fpu,mean,median,min,max
ALB_ALB,36,27,0,330
ALK_USA,1693,1503,0,5880
AMD_UZB,500,296,0,2625
GRL_GRL,8430,7709,0,23093
GSA_GSA,1395,1145,0,5873
GTM_GTM,121,52,0,1403
HAI_CHM,44,23,0,447
HND_HND,181,62,0,1868
HOA_ETH,154,127,0,1021
HOA_KEN,137,99,0,884
HOA_SOM,149,121,0,966
HTI_HTI,17,6,0,333
HUA_CHM,22,12,0,395
AMR_CHM,209,153,0,1432
HUN_CHM,127,63,0,1683
HWI_USA,53,18,0,557
IEC_IND,33,6,0,1199
IND_CHM,521,456,31,2121
IND_IND,171,36,0,3549
IND_PAK,177,48,0,7112
INE_IDN,439,234,0,3888
INW_IDN,94,24,0,2369
IRL_IRL,14,12,0,188
ISL_ISL,286,262,0,1845
AMR_RUS,463,306,0,2997
ITA_ITP,12,8,0,614
JAM_JAM,20,5,0,572
JAP_JPN,15,6,0,4238
KAL_BWA,305,271,0,1057
KAL_NAM,232,143,0,1556
KAL_ZAF,159,138,0,655
KRI_IND,19,13,0,289
LAJ_CHM,578,441,0,4679
LBA_KAZ,295,229,0,1355
LBO_FRP,15,13,0,184
ARA_IRQ,560,476,0,1828
LCB_CAF,267,213,0,1040
LCB_CMR,90,62,0,655
LCB_NER,1498,1265,0,4439
LCB_NGA,52,40,0,465
LCB_TCD,331,216,0,2870
LIM_BWA,108,89,0,587
LIM_MOZ,132,108,0,595
LIM_ZAF,42,35,0,262
LIM_ZWE,126,104,0,586
LMO_CHM,400,295,0,2395
ARK_USA,43,36,0,310
LMO_MNG,491,411,0,3125
LTZ_KAZ,430,359,0,1527
LUN_IND,24,18,0,226
MAD_MDG,183,134,0,1521
MAT_IND,24,17,0,347
MAU_AUS,169,133,0,827
MCK_CAN,1080,906,0,4452
MEK_KHM,99,46,0,1458
MEK_LAO,201,133,0,1409
MEK_MMR,229,172,0,1070
ARM_ARM,42,31,0,423
MEK_THA,28,19,0,650
MEK_VNM,32,10,0,988
MHN_IND,40,27,0,578
MIM_MEX,90,60,0,798
MIS_USA,28,24,0,404
MOU_USA,82,70,0,778
NAC_DZA,68,32,0,1080
NAC_EGY,637,432,0,4525
NAC_LBY,444,270,0,3087
NAC_TUN,143,40,0,1578
AZE_AZE,63,38,0,730
NEB_BRA,79,44,0,1393
NER_RUS,738,327,0,5642
NIC_NIC,161,74,0,1933
NIG_BEN,76,54,0,515
NIG_BFA,88,72,0,511
NIG_CIV,53,44,0,287
NIG_CMR,100,71,0,546
NIG_GIN,65,56,0,329
NIG_MLI,657,251,0,6811
NIG_NER,216,148,0,2758
BAL_BLT,28,25,0,201
NIG_NGA,50,30,0,955
NIG_TCD,129,120,0,442
NKP_PRK,42,25,0,483
NLL_DJI,123,109,0,444
NLL_EGY,394,287,0,2108
NLL_ERI,240,166,0,1747
NLL_ETH,159,121,0,1319
NLL_SDN,596,386,0,3854
NLL_SSD,234,182,0,1243
NLL_UGA,64,29,0,686
BAL_RUS,49,42,0,257
NOR_NOR,112,88,0,1580
NWA_MOR,261,118,0,1899
NWA_MRT,602,417,0,2717
NWS_COL,205,69,0,41495
NWS_ECU,501,344,0,2111
NZE_NZL,142,69,0,3152
OAO_OAO,2482,3151,0,9377
OBB_CHM,235,166,0,1178
OBB_KAZ,209,165,0,1321
OBB_RUS,335,198,0,2875
BLA_RUS,54,44,0,1961
ODE_DEU,15,14,0,66
ODE_POL,12,10,0,111
ODE_RUS,23,20,0,126
OHI_USA,20,17,0,144
OIO_OIO,1652,0,0,12707
OPO_OPO,115,0,0,8976
ORA_LSO,42,27,0,325
ORA_NAM,149,135,0,608
ORA_ZAF,69,52,0,488
ORI_COL,677,302,0,4053
AMA_BOL,386,253,0,3507
BLA_TUR,48,40,0,533
ORI_VEN,1035,255,0,6515
PAN_PAN,199,69,0,1709
PAO_PNG,575,427,0,5385
PAR_ARG,92,63,0,1069
PAR_BOL,267,195,0,1560
PAR_BRA,91,41,0,1391
PAR_PRY,249,178,0,1279
PEC_PER,122,90,0,993
PHI_PHL,53,4,0,1355
PRT_PRT,24,19,0,911
BLA_UKR,33,28,0,210
RAP_RAP,181,126,0,1324
RHI_BLX,5,3,0,34
RHI_CHP,26,12,0,828
RHI_DEU,7,5,0,42
RHI_FRP,10,9,0,48
RHI_NLD,5,2,0,117
RHO_FRP,17,13,0,573
RIC_ARG,206,150,0,2085
RIG_MEX,161,123,0,894
RIG_USA,74,66,0,369
BLZ_BLZ,118,59,0,991
RRS_RUS,2219,2078,0,6831
RVE_VEN,772,537,0,3746
RVN_VNM,61,22,0,1195
RWI_CAN,202,87,0,2171
RWI_USA,55,50,0,361
SAC_SWZ,25,21,0,190
SAC_ZAF,69,51,0,403
SAF_MOZ,123,82,0,749
SAF_TZA,105,72,0,591
SAF_ZWE,63,51,0,426
BOR_IDN,316,171,0,2971
SAH_DZA,1185,868,0,5190
SAH_EGY,2054,1640,21,5754
SAH_LBY,1654,1268,0,6223
SAH_MLI,3324,3157,0,8632
SAH_MOR,136,108,0,1138
SAH_MRT,2929,2278,0,8897
SAH_NER,1242,1108,0,4626
SAH_SDN,1655,993,0,6461
SAH_TCD,1208,1030,0,5261
SAL_ARG,116,66,0,2092
BOR_MYS,239,141,0,5260
SAN_BRA,57,39,0,3648
SAU_SAU,602,304,0,4221
SAY_IND,20,7,0,782
SEI_FRP,12,10,0,67
SEN_GIN,63,48,0,325
SEN_MLI,103,90,0,573
SEN_MRT,595,244,0,4968
SEN_SEN,157,131,0,704
SEU_USA,23,19,0,457
SKP_KOR,15,7,0,477
BRT_BGD,22,8,0,747
SLB_SLB,310,0,0,2003
SLV_SLV,15,10,0,356
SON_CHM,139,81,0,1510
SPP_SPP,26,22,0,383
SRL_LKA,28,10,0,525
SWE_SWE,80,47,0,996
SYD_KAZ,429,324,0,2649
SYD_KGZ,230,163,0,2643
SYD_TJK,183,84,0,1781
SYD_UZB,86,31,0,868
BRT_BTN,456,321,0,4507
TIE_ARG,194,165,0,2214
TIG_IRN,74,60,0,341
TIG_IRQ,139,71,0,1650
TIG_SYR,102,56,0,740
TIG_TUR,50,38,0,797
TLS_TLS,50,32,0,400
TMM_BGD,86,12,0,1036
TMM_MMR,240,105,0,2571
TMM_MYS,119,33,0,1660
TMM_OSA,139,59,0,973
BRT_CHM,404,309,0,6069
TMM_THA,57,20,0,1446
TOC_BRA,135,93,0,1384
TWN_CHM,38,6,0,837
UKP_UKP,16,6,0,1286
UME_MEX,147,122,0,2273
UMO_MNG,364,295,0,2022
UMO_RUS,215,184,0,1017
URA_KAZ,366,254,0,2563
URA_RUS,83,75,0,384
URA_TKM,501,416,0,1938
BRT_IND,219,63,0,18290
URU_BRA,44,34,0,330
URU_URY,87,76,0,323
USN_USA,29,17,0,327
VOG_RUS,82,57,0,1226
VOT_BEN,57,40,0,332
VOT_BFA,68,50,0,500
VOT_CIV,65,50,0,456
VOT_GHA,62,44,0,522
VOT_MLI,67,55,0,306
VOT_TGO,46,38,0,292
CAF_AGO,235,180,0,1093
VUT_VUT,154,0,0,1716
WAC_CIV,79,45,0,976
WAC_GIN,50,37,0,539
WAC_GMB,30,22,0,178
WAC_GNB,70,60,0,381
WAC_LBR,155,94,0,1217
WAC_SEN,73,57,0,455
WAC_SLE,43,32,0,574
WAI_AFG,198,146,0,1472
WAI_IRN,216,114,0,2312
AMA_BRA,1024,781,0,5518
CAF_CAF,158,117,0,1262
WAI_PAK,262,213,0,1227
WAI_TKM,407,331,0,1712
WAU_AUS,355,318,0,2276
WGM_USA,34,29,0,169
YEM_YEM,414,256,0,2055
YEN_RUS,1539,1151,0,7079
YHE_CHM,919,524,0,7463
YRD_CHM,107,74,0,850
YRD_VNM,61,29,0,843
YUC_MEX,95,49,0,1515
CAF_CMR,166,103,0,1553
ZAM_AGO,467,447,0,1333
ZAM_BWA,268,250,0,732
ZAM_COD,198,181,0,725
ZAM_MOZ,126,98,0,764
ZAM_MWI,55,33,0,407
ZAM_NAM,168,127,0,642
ZAM_TZA,143,93,0,713
ZAM_ZMB,155,118,0,870
ZAM_ZWE,77,63,0,453
ZHJ_CHM,63,35,0,1199
CAF_COG,203,175,0,985
CAF_GAB,346,250,0,2560
CAF_GNQ,124,96,0,858
CAF_NAM,169,142,0,936
CAL_USA,55,40,0,545
CAN_CAN,3098,2798,0,12390
CAU_AUS,738,618,0,3481
CAV_IND,18,9,0,380
AMA_COL,1714,1622,0,5037
CHC_CHL,325,176,0,11782
CHJ_CHM,149,61,0,2220
CHO_IND,20,12,0,279
CHU_KAZ,392,310,0,1552
CHU_KGZ,234,147,0,3100
COB_CAN,235,156,0,1671
COB_USA,94,71,0,949
COL_USA,95,81,0,574
CON_AGO,251,211,0,1169
CON_CAF,396,254,0,1984
AMA_ECU,103,37,0,1592
CON_COD,333,198,0,2725
CON_COG,493,346,0,2481
CRB_CRB,50,0,0,959
CRI_CRI,90,38,0,1738
CUB_CUB,31,17,0,569
DAN_AUT,22,17,0,438
DAN_BGR,39,36,0,201
DAN_CZE,11,10,0,58
DAN_DEU,10,9,0,235
DAN_HRV,15,10,0,237
AMA_PER,950,703,0,4851
DAN_HUN,14,13,0,106
DAN_MDA,21,18,0,146
DAN_OBN,26,19,0,275
DAN_ROU,31,26,0,255
DAN_SVK,14,13,0,131
DAN_SVN,17,14,0,287
DAN_TUR,24,19,0,164
DAN_UKR,43,38,0,185
DNI_BLR,35,31,0,202
DNI_RUS,41,37,0,224
AMD_AFG,170,93,0,3337
DNI_UKR,31,26,0,286
DOM_DOM,47,21,0,932
EAC_BDI,18,10,0,355
EAC_COD,143,120,0,976
EAC_RWA,23,8,0,392
EAC_TZA,132,83,0,987
EAU_AUS,117,81,0,3715
EGH_IND,31,17,0,249
ELB_DEU,10,8,0,188
ELB_DNK,12,9,0,197
AMD_TJK,477,291,0,5086
EME_CYP,17,11,0,148
EME_EGY,169,127,0,914
EME_ISR,29,15,0,219
EME_JOR,289,196,0,1474
EME_LBN,16,6,0,218
EME_PSE,9,3,0,116
EME_SYR,100,43,0,658
EME_TUR,36,29,0,352
FJI_FJI,62,0,0,1697
FNP_FNP,76,42,0,616
AMD_TKM,387,315,0,1495
GAN_BGD,20,3,0,446
GAN_CHM,385,314,0,37694
GAN_IND,35,15,0,4926
GAN_NPL,226,71,0,7530
GBA_USA,136,123,0,738
GEO_GEO,98,54,0,1624
GLA_CAN,174,105,0,1668
GLA_USA,35,21,0,479
GOD_IND,29,18,0,380
GRC_GRC,18,11,0,357
